,0,1
cntry,0.00024691200044355823,0.00024691200044354435
pspwght,0.0004881974863924938,0.00048819748639250033
anweight,0.0014626612449278708,0.0014626612449278578
nwspol,0.0002443539157839356,0.00024435391578393214
netustm,0.0037323293248149813,0.0037323293248149917
ppltrst,0.0006829509128386611,0.0006829509128386648
pplhlp,0.0008542045788274763,0.0008542045788274671
polintr,0.00032349892584573355,0.00032349892584573046
psppsgva,9.889706738957446e-05,9.88970673895681e-05
psppipla,3.685861939748839e-06,3.6858619397472527e-06
trstplc,1.1626717561565819e-05,1.1626717561563638e-05
trstprl,7.303424220682265e-06,7.303424220681373e-06
contplt,4.253206972430955e-07,4.25320697243492e-07
wrkprty,1.0695279762900395e-06,1.069527976289643e-06
pbldmn,0.00041728329539638797,0.0004172832953963741
bctprd,0.0,0.0
stfdem,0.0,0.0
gincdif,0.0,0.0
freehms,1.664242864235499e-06,1.6642428642343094e-06
hmsacld,1.1348823726706203e-06,1.1348823726686378e-06
imsmetn,8.523036843850354e-06,8.523036843849363e-06
imdfetn,0.0,0.0
happy,0.0,0.0
sclact,0.0,0.0
atchctr,0.0,0.0
atcherp,0.0,0.0
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
dscrna,0.0,0.0
ctzcntr,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgngas,0.0,0.0
elgnuc,2.2144718267088397e-06,2.214471826708939e-06
elgbio,0.0,0.0
wrdpfos,0.0,0.0
wrtcfl,0.0,0.0
clmchng,0.0,0.0
lkredcc,0.0,0.0
gvsrdcc,0.0,0.0
sbsrnen,1.971562000979897e-06,1.971562000980095e-06
slvpens,0.0,0.0
sbbsntx,0.0,0.0
imsclbn,1.0388665809480331e-05,1.0388665809482313e-05
admub,1.92937901369049e-06,1.9293790136894e-06
wrkprbf,0.0,0.0
lkuemp,2.976774959529257e-06,2.9767749595300503e-06
gndr,0.0,0.0
gndr3,0.00029979014520227113,0.000299790145202264
yrbrn3,1.9539016162070657e-06,1.9539016162078585e-06
icpart1,0.0010028857655510312,0.001002885765551013
lvgptnea,0.0001905438471669998,0.00019054384716699464
dvrcdeva,0.0005191664621959684,0.0005191664621959635
chldhm,1.0441964277383659e-05,1.044196427738326e-05
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0836052794596976,0.08360527945969758
iorgact,0.0037613349175786006,0.003761334917578588
edulvlfb,7.468151315411152e-07,7.468151315367536e-07
occf14b,5.595955544631024e-06,5.595955544631619e-06
occm14b,4.135661465045784e-06,4.135661465045784e-06
imprich,0.0,0.0
ipeqopt,0.0,0.0
ipshabt,0.0,0.0
impdiff,0.0,0.0
ipfrule,0.0,0.0
ipudrst,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
