,0,1
cntry,0.003354264448281446,0.003354264448281441
pspwght,0.016043139466695208,0.01604313946669522
anweight,0.0054363495178298485,0.005436349517829841
nwspol,0.004154645039232569,0.004154645039232558
netusoft,0.005025489654729886,0.005025489654729887
netustm,0.0024444139371630996,0.0024444139371631044
ppltrst,0.007869574857201809,0.007869574857201805
pplhlp,0.002307599323352902,0.0023075993233528974
polintr,0.007584317789285353,0.007584317789285371
psppsgva,0.33302297377655865,0.33302297377655865
psppipla,4.189757844365594e-05,4.189757844365435e-05
trstplt,4.683309821081894e-05,4.6833098210821315e-05
trstep,7.915968383568974e-05,7.915968383569211e-05
trstprl,0.00018649652847989664,0.00018649652847989228
vote,0.00011104917264031273,0.00011104917264031193
wrkprty,0.0007976678138563274,0.0007976678138563204
pbldmn,2.7644487647307932e-05,2.76444876473119e-05
bctprd,8.280167847165406e-05,8.280167847164613e-05
gincdif,2.971734209337876e-05,2.9717342093376383e-05
mnrgtjb,7.826654763493646e-05,7.826654763493646e-05
imsmetn,3.892622872725087e-05,3.8926228727246907e-05
imdfetn,9.969331053625931e-06,9.969331053625139e-06
happy,0.00013611590130940384,0.0001361159013094082
sclact,6.433379252514526e-05,6.433379252514605e-05
hlthhmp,7.015390153600515e-05,7.015390153600833e-05
rlgblg,0.0,0.0
rlgdnm,0.0006872278941780643,0.0006872278941780734
rlgblge,5.2371486296799125e-05,5.237148629679793e-05
dscrgrp,7.117638220626483e-06,7.117638220624104e-06
dscrrce,0.023821576627707217,0.0238215766277072
dscrage,0.00012459267955032508,0.00012459267955033303
dscrgnd,6.919271827267593e-05,6.9192718272668e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.160801613125585e-05,7.160801613126297e-05
elgngas,3.1168392395378564e-05,3.1168392395378564e-05
elgnuc,0.000797396402324106,0.0007973964023240993
elgwind,6.5872368832185585e-06,6.587236883218955e-06
elgbio,0.0003319411418064062,0.0003319411418063931
wrdpfos,0.0007583000417058208,0.0007583000417058247
wrtcfl,0.00011477723786306024,0.00011477723786305785
wrtratc,7.827576074944704e-05,7.827576074944347e-05
lkredcc,5.399013802510542e-05,5.3990138025094714e-05
slvpens,0.00025198001885086695,0.0002519800188508642
sbstrec,0.0006106108020422745,0.0006106108020422647
imsclbn,0.00026252888803464933,0.000262528888034645
uentrjb,0.00013658432958369755,0.0001365843295836932
wrkprbf,7.791893980894042e-05,7.791893980893924e-05
lkuemp,1.3886863687731113e-05,1.3886863687731113e-05
yrbrn,1.948455880210753e-05,1.948455880211467e-05
yrbrn2,2.2282259804605266e-05,2.228225980460923e-05
lvgptnea,4.583843491678476e-05,4.5838434916785946e-05
iccohbt,2.5730731608455563e-05,2.573073160845239e-05
maritalb,2.2381451582572813e-05,2.2381451582572813e-05
rtrd,3.556562974419895e-05,3.55656297442049e-05
cmsrv,5.642177177871728e-06,5.642177177862211e-06
hswrk,2.873530677965879e-05,2.873530677965562e-05
dngdk,0.0,0.0
dngna,3.004216176228052e-05,3.004216176228369e-05
icomdng,6.205523470583467e-05,6.205523470584498e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkhct,3.889142976311282e-05,3.889142976312075e-05
isco08,0.00023628270702214318,0.00023628270702214475
icpart3,0.0,0.0
pdwrkp,9.304440950107041e-06,9.304440950105456e-06
edulvlfb,0.0002926252583074904,0.00029262525830749673
occf14b,1.9555706597239122e-05,1.955570659723714e-05
occm14b,0.00016239123688937502,0.0001623912368893782
imprich,2.7362170653211228e-05,2.73621706532144e-05
ipeqopt,0.00011539680087366,0.00011539680087366277
impsafe,3.2966682949747694e-05,3.296668294975007e-05
impdiff,1.2131333513055017e-05,1.2131333513055414e-05
ipmodst,1.834393435636731e-05,1.834393435637167e-05
inwmms,5.925028653821813e-05,5.925028653820663e-05
inwyys,0.0024326834509671587,0.0024326834509671635
inwdde,0.00030822349036343984,0.00030822349036343984
