,0,1
cntry,0.005298696439348535,0.005298696439348541
pspwght,0.01054717828254398,0.010547178282543982
anweight,0.005673145111566152,0.005673145111566163
nwspol,0.003401667227568124,0.003401667227568126
netustm,0.015856313709737394,0.0158563137097374
ppltrst,0.010609272453089524,0.010609272453089541
pplfair,0.012026414303975493,0.01202641430397549
pplhlp,0.003958623819180576,0.003958623819180576
polintr,0.00574063760123106,0.0057406376012310596
psppsgva,8.155767601484128e-07,8.155767601503954e-07
actrolga,8.088652447880787e-06,8.088652447879596e-06
trstlgl,0.0007246815999739276,0.0007246815999739281
trstprt,1.2819664025111508e-05,1.2819664025109526e-05
contplt,1.0260685512256514e-05,1.0260685512256514e-05
sgnptit,0.0029037224215624413,0.0029037224215624374
pbldmn,2.8599899281294457e-07,2.8599899281373755e-07
stfhlth,1.279105445488038e-05,1.2791054454883155e-05
mnrgtjb,2.1297807323219272e-05,2.129780732322145e-05
euftf,6.275892825664225e-06,6.275892825664225e-06
imsmetn,2.6647568586721435e-05,2.6647568586720842e-05
imueclt,0.00024277225604834698,0.00024277225604834655
imwbcnt,8.250434727387782e-05,8.250434727388575e-05
atcherp,0.0,0.0
rlgdnm,0.0,0.0
rlgdgr,0.00018568419594491064,0.00018568419594492026
pray,4.042436900790678e-06,4.042436900790282e-06
dscretn,0.0,0.0
dscrage,0.0,0.0
dscrnap,0.0,0.0
lnghom1,0.0,0.0
facntr,0.0,0.0
mocntr,0.0,0.0
elgcoal,1.586914405763735e-05,1.5869144057636557e-05
elghydr,0.0003573539547085603,0.00035735395470856105
elgwind,0.00011498241690164156,0.00011498241690163839
wrpwrct,1.2027684012699824e-05,1.2027684012697049e-05
wrdpfos,2.5924136236270862e-05,2.5924136236271655e-05
wrinspw,8.569094882905439e-05,8.56909488290526e-05
wrtratc,4.97287523808795e-05,4.9728752380884254e-05
ccgdbd,0.0,0.0
lklmten,7.3782631207215876e-06,7.378263120718217e-06
uemplwk,4.257967153742996e-05,4.2579671537431945e-05
gvslvol,7.576849163318403e-05,7.576849163318164e-05
sbstrec,2.5304127381605066e-06,2.5304127381605066e-06
sbeqsoc,8.92491195768143e-07,8.92491195768936e-07
sblwcoa,0.00031628399778268053,0.00031628399778267896
eudcnbf,0.00011754317896204986,0.00011754317896205322
hhmmb,3.267430603452153e-06,3.2674306034525494e-06
gndr2,0.003192586264976058,0.003192586264976059
agea,0.00013879929153005522,0.00013879929153005324
rshipa3,0.006340492319184859,0.006340492319184858
lvgptnea,0.0025131070939246984,0.002513107093924692
maritalb,0.000140017123135864,0.00014001712313586195
rtrd,2.498623798531068e-06,2.498623798531068e-06
cmsrv,0.0,0.0
dngref,0.0,0.0
dngdk,0.0,0.0
dngna,4.168622818263262e-06,4.1686228182648475e-06
icomdng,0.0,0.0
mnactic,0.0,0.0
jbspv,0.16083341133898577,0.16083341133898577
edulvlfb,4.568610973904121e-05,4.5686109739043586e-05
occf14b,0.0005571547955412656,0.0005571547955412582
occm14b,0.00014744425530600772,0.00014744425530600167
ipeqopt,0.00014965175594842592,0.00014965175594843188
ipshabt,5.253353937052983e-06,5.253353937045053e-06
impdiff,3.568509018748405e-06,3.568509018747612e-06
ipfrule,0.0,0.0
inwmms,6.7857043227648186e-06,6.785704322766404e-06
inwyys,2.8047766928962493e-05,2.8047766928958526e-05
