,0,1
cntry,0.002733559647412777,0.0027335596474127744
pspwght,0.0026758385766502135,0.0026758385766502127
anweight,0.003362982517159499,0.0033629825171595006
nwspol,0.001539727267642868,0.0015397272676428617
netustm,0.006815530322523658,0.006815530322523653
ppltrst,0.003377761015486133,0.0033777610154861327
pplfair,0.001886309228699627,0.0018863092286996337
pplhlp,0.003077929246466177,0.0030779292464661765
polintr,0.003493853327027765,0.0034938533270277533
psppsgva,1.3462722500527459e-06,1.3462722500513582e-06
actrolga,1.2453607572525393e-05,1.2453607572524502e-05
trstlgl,0.00059567709676776,0.0005956770967677637
trstprt,2.2147848156761133e-05,2.214784815675717e-05
contplt,4.757647663481685e-05,4.757647663481487e-05
sgnptit,0.003230337353162702,0.003230337353162703
pbldmn,6.364078374897328e-05,6.364078374897165e-05
stfgov,0.00028427861710758737,0.0002842786171075834
stfedu,0.0008891025535177384,0.0008891025535177338
stfhlth,4.12696017122381e-06,4.1269601712273785e-06
euftf,2.5074197628328115e-05,2.50741976283297e-05
imsmetn,0.0001367502800488082,0.000136750280048808
imwbcnt,0.00013181090401919568,0.00013181090401919089
inprdsc,5.034095728525802e-05,5.034095728525623e-05
rlgdnm,5.7876765252413256e-06,5.7876765252401855e-06
rlgdgr,2.5844179752974277e-05,2.5844179752973386e-05
pray,1.2830978554194802e-05,1.2830978554189845e-05
dscretn,5.4169883454956756e-06,5.416988345494287e-06
dscrage,1.690132191520255e-06,1.690132191518867e-06
lnghom1,0.0,0.0
facntr,0.0,0.0
mocntr,2.9381819656760075e-06,2.938181965674818e-06
cflsenr,8.470492955992757e-05,8.47049295599247e-05
elghydr,0.0003432780299082214,0.00034327802990822154
elgwind,0.0005698323394462152,0.0005698323394462109
wrpwrct,4.987560078621821e-05,4.9875600786217026e-05
wrdpimp,3.6360977341454556e-05,3.6360977341455945e-05
wrinspw,0.00014631221204057382,0.0001463122120405752
wrtratc,6.50578874354715e-05,6.505788743547248e-05
ccgdbd,1.2109167155349114e-05,1.2109167155346141e-05
lklmten,2.438867641284279e-05,2.4388676412839915e-05
inctxff,5.687346259850603e-05,5.687346259850175e-05
sbstrec,6.73607547066488e-06,6.736075470664087e-06
sblwcoa,0.0002869723458942477,0.00028697234589424676
imsclbn,0.0002968482058816681,0.0002968482058816608
lbenent,0.00022527374352948986,0.00022527374352948425
eudcnbf,0.00033800701919055223,0.0003380070191905521
hhmmb,0.00011227987490826429,0.00011227987490826079
gndr2,0.002719531831053142,0.0027195318310531316
agea,0.00012901921616275164,0.00012901921616275208
icpart1,0.00014409232990480862,0.00014409232990481084
lvgptnea,0.0035877751234415873,0.0035877751234415787
maritalb,0.00011177779400577072,0.00011177779400576707
rtrd,4.681873623242033e-06,4.681873623238365e-06
cmsrv,9.343042630661848e-07,9.343042630659865e-07
dngref,0.0,0.0
dngdk,0.0,0.0
dngna,9.330205666353842e-07,9.33020566634492e-07
icomdng,0.0,0.0
mnactic,0.0,0.0
jbspv,0.07647990781169085,0.07647990781169083
edulvlfb,0.00010867871990863385,0.00010867871990863256
occf14b,0.0002558412395239582,0.00025584123952395295
occm14b,5.686060269543111e-05,5.686060269543289e-05
imprich,2.81475456992463e-05,2.8147545699248677e-05
ipeqopt,0.00035468347338974055,0.00035468347338973475
ipshabt,2.7544097418059018e-05,2.7544097418052377e-05
impdiff,5.474162443599598e-06,5.474162443599994e-06
ipfrule,9.475243584931253e-06,9.475243584930658e-06
inwmms,0.0,0.0
inwyys,4.6794649397469135e-06,4.6794649397479045e-06
