         column name  percentage missing
gndr12        gndr12           99.988735
rshipa12    rshipa12           99.988735
yrbrn12      yrbrn12           99.988735
yrbrn11      yrbrn11           99.979724
rshipa11    rshipa11           99.977471
gndr11        gndr11           99.977471
rlgdelt      rlgdelt           99.941424
yrbrn10      yrbrn10           99.936918
gndr10        gndr10           99.925654
rshipa10    rshipa10           99.923401
rlgdehu      rlgdehu           99.882849
yrbrn9        yrbrn9           99.867078
gndr9          gndr9           99.846802
rshipa9      rshipa9           99.844549
edupail2    edupail2           99.806250
rlgdeapl    rlgdeapl           99.788226
yrbrn8        yrbrn8           99.653052
rlgdease    rlgdease           99.637281
gndr8          gndr8           99.628270
rshipa8      rshipa8           99.619258
rlgdeis      rlgdeis           99.567441
edufail2    edufail2           99.515624
rlgdeafi    rlgdeafi           99.504359
rlgdebat    rlgdebat           99.495348
edumail2    edumail2           99.484083
rlgdeach    rlgdeach           99.407484
rlgdeno      rlgdeno           99.382702
rlgdegb      rlgdegb           99.337644
rlgdeie      rlgdeie           99.258792
rlgdebe      rlgdebe           99.215987
rlgdnis      rlgdnis           99.069547
rlgdeade    rlgdeade           99.058283
prtclesi    prtclesi           99.035754
rlgdenl      rlgdenl           99.006466
prtclbis    prtclbis           99.004213
yrbrn7        yrbrn7           98.997454
gndr7          gndr7           98.950143
rshipa7      rshipa7           98.934373
prtclgpl    prtclgpl           98.909591
prtclblt    prtclblt           98.875797
rlgdnnl      rlgdnnl           98.754140
rlgdnase    rlgdnase           98.736116
edlvpdis    edlvpdis           98.691058
prtclfhu    prtclfhu           98.641494
prtvtesi    prtvtesi           98.535607
prtvtbis    prtvtbis           98.407191
prtclept    prtclept           98.337351
edlvpdpt    edlvpdpt           98.332845
prtclcit    prtclcit           98.328339
prtvtfch    prtvtfch           98.285534
prtvtcpt    prtvtcpt           98.281028
prtcldcz    prtcldcz           98.231464
prtclfee    prtclfee           98.208935
rlgdnbe      rlgdnbe           98.195418
rlgdnhu      rlgdnhu           98.186406
prtclfch    prtclfch           98.170636
rlgdnno      rlgdnno           98.145854
edlvpesi    edlvpesi           98.112060
edlvfdis    edlvfdis           98.098542
prtclcbe    prtclcbe           98.082772
edlvmdis    edlvmdis           98.069255
prtcldie    prtcldie           98.062496
prtvtehu    prtvtehu           98.044472
prtclcat    prtclcat           98.042220
edlvdis      edlvdis           98.028702
prtcldru    prtcldru           98.008426
prtclenl    prtclenl           98.003920
edlvpdhu    edlvpdhu           97.992656
rlgdngb      rlgdngb           97.938586
rlgdnach    rlgdnach           97.904792
edupagb2    edupagb2           97.902539
edagepgb    edagepgb           97.900286
edupbgb1    edupbgb1           97.893527
prtclbse    prtclbse           97.893527
prtvtbit    prtvtbit           97.870998
edlvpdch    edlvpdch           97.839457
clmthgt1    clmthgt1           97.823687
prtclefr    prtclefr           97.807917
edlvpenl    edlvpenl           97.794399
